Source.File,Sample.code,Group
PR488_Michele_20180808_T1_rep1,T1,G1
PR488_Michele_20180808_T1_rep2,T1,G1
PR488_Michele_20180813_T2_rep1,T2,G2
PR488_Michele_20180813_T3_rep1,T3,G3
PR488_Michele_20180813_T4_rep1,T4,G4
PR489_Michele_20180903_T1_rep1,T1,G1
PR489_Michele_20180903_T2_rep2,T2,G2
PR489_Michele_20180903_T2_rep3,T2,G2
PR489_Michele_20180903_T3_rep1,T3,G3
PR489_Michele_20180903_T3_rep2,T3,G3
PR489_Michele_20180903_T4_rep1,T4,G4
PR489_Michele_20180903_T4_rep3,T4,G4
PR489_Michele_20181009_Y1_rep1,Y1,G4
PR489_Michele_20181009_Y1_rep2,Y1,G4
PR489_Michele_20181009_Y1_rep3,Y1,G4
PR489_Michele_20181009_Y2_rep1,Y2,G3
PR489_Michele_20181009_Y2_rep2,Y2,G3
PR489_Michele_20181009_Y2_rep3,Y2,G3
PR489_Michele_20181009_Y3_rep1,Y3,G4
PR489_Michele_20181009_Y3_rep2,Y3,G4
PR489_Michele_20181009_Y3_rep3,Y3,G4
PR489_Michele_20181009_Y4_rep1,Y4,G3
PR489_Michele_20181009_Y4_rep2,Y4,G3
PR489_Michele_20181009_Y4_rep3,Y4,G3
PR489_Michele_20181121_Z1_rep1,Z1,G2
PR489_Michele_20181121_Z1_rep2,Z1,G2
PR489_Michele_20181121_Z1_rep3,Z1,G2
PR489_Michele_20181121_Z2_rep1,Z2,G1
PR489_Michele_20181121_Z2_rep2,Z2,G1
PR489_Michele_20181121_Z2_rep3,Z2,G1
PR489_Michele_20181121_Z3_rep1,Z3,G4
PR489_Michele_20181121_Z3_rep2,Z3,G4
PR489_Michele_20181121_Z3_rep3,Z3,G4
PR489_Michele_20181121_Z4_rep1,Z4,G3
PR489_Michele_20181121_Z4_rep2,Z4,G3
PR489_Michele_20181121_Z4_rep3,Z4,G3
PR489_Michele_20181121_Z5_rep1,Z5,G2
PR489_Michele_20181121_Z5_rep2,Z5,G2
PR489_Michele_20181121_Z5_rep3,Z5,G2
PR489_Michele_20181121_Z6_rep1,Z6,G1
PR489_Michele_20181121_Z6_rep2,Z6,G1
PR489_Michele_20181121_Z6_rep3,Z6,G1
PR489_Michele_20190416_I01_rep1,I1,G2
PR489_Michele_20190416_I01_rep2,I1,G2
PR489_Michele_20190416_I01_rep3,I1,G2
PR489_Michele_20190416_I02_rep1,I2,G1
PR489_Michele_20190416_I02_rep2,I2,G1
PR489_Michele_20190416_I02_rep3,I2,G1
PR489_Michele_20190416_I03_rep1,I3,G2
PR489_Michele_20190416_I03_rep2,I3,G2
PR489_Michele_20190416_I03_rep3,I3,G2
PR489_Michele_20190416_I04_rep1,I4,G1
PR489_Michele_20190416_I04_rep2,I4,G1
PR489_Michele_20190416_I04_rep3,I4,G1
PR489_Michele_20190416_I05_rep1,I5,G2
PR489_Michele_20190416_I05_rep2,I5,G2
PR489_Michele_20190416_I05_rep3,I5,G2
PR489_Michele_20190416_I06_rep1,I6,G1
PR489_Michele_20190416_I06_rep2,I6,G1
PR489_Michele_20190416_I06_rep3,I6,G1
PR489_Michele_20190416_I07_rep1,I7,G4
PR489_Michele_20190416_I07_rep2,I7,G4
PR489_Michele_20190416_I07_rep3,I7,G4
PR489_Michele_20190416_I08_rep1,I8,G3
PR489_Michele_20190416_I08_rep2,I8,G3
PR489_Michele_20190416_I08_rep3,I8,G3
PR489_Michele_20190614_K01_rep1,K1,G2
PR489_Michele_20190614_K01_rep2,K1,G2
PR489_Michele_20190614_K01_rep3,K1,G2
PR489_Michele_20190614_K02_rep1,K2,G1
PR489_Michele_20190614_K02_rep2,K2,G1
PR489_Michele_20190614_K02_rep3,K2,G1
PR489_Michele_20190614_K03_rep1,K3,G2
PR489_Michele_20190614_K03_rep2,K3,G2
PR489_Michele_20190614_K03_rep3,K3,G2
PR489_Michele_20190614_K04_rep1,K4,G1
PR489_Michele_20190614_K04_rep2,K4,G1
PR489_Michele_20190614_K04_rep3,K4,G1
PR489_Michele_20190614_K05_rep1,K5,G4
PR489_Michele_20190614_K05_rep2,K5,G4
PR489_Michele_20190614_K05_rep3,K5,G4
PR489_Michele_20190614_K06_rep1,K6,G3
PR489_Michele_20190614_K06_rep2,K6,G3
PR489_Michele_20190614_K06_rep3,K6,G3
