-0.653568685054779,"[239, 0.0026321141700632383, 0.001368725983049431, 95]"
-0.6478763818740845,"[418, 0.006014988479823, 0.0029235864299744555, 146]"
-0.6179776787757874,"[477, 0.00037953492569161765, 0.0010133707782574604, 226]"
-0.6157239675521851,"[381, 0.0017554865504583494, 0.002508369241628288, 114]"
-0.6139706373214722,"[5, 0.01, 1e-06, 512]"
-0.5666986703872681,"[100, 0.001, 0.001, 64]"
-0.5014090538024902,"[351, 0.002661145849683857, 0.006443375127518831, 485]"
-0.002750090090557933,"[120, 0.0010074124883280476, 0.00826345613627584, 101]"
-0.0,"[17, 0.0015763931405879913, 0.009504861101930455, 150]"
-0.0,"[69, 0.00024083188386798534, 0.00759014851083345, 215]"
-0.0,"[104, 0.0003746040281022209, 0.006415773594807362, 218]"
-0.0,"[121, 0.00015497868731129897, 0.0037431995100904543, 420]"
