-0.576511800289154,"[420, 0.0046558679353179136, 0.001564648506842542, 28]"
-0.5505313277244568,"[233, 0.004781070347982062, 0.0015635023851012302, 63]"
-0.5200039148330688,"[100, 0.001, 0.001, 64]"
-0.5026044249534607,"[347, 0.00511993113323398, 0.009758024685306444, 23]"
-0.4890671372413635,"[255, 0.006658048276017024, 0.007512046961818371, 444]"
-0.483856737613678,"[457, 0.0008295902198998583, 0.005149386359748544, 78]"
-0.0,"[62, 0.0007281084123710365, 0.004593612395631672, 69]"
-0.0,"[73, 0.0007306687389295588, 0.0031038057795407716, 37]"
-0.0,"[129, 0.00016487812650746434, 0.005969247946143807, 361]"
-0.0,"[194, 0.00011010268353644276, 0.009568732158260344, 67]"
-0.0,"[226, 0.00014201514296751383, 0.007261641129320517, 376]"
-0.0,"[435, 0.00030589690496250353, 0.007260570234908623, 327]"
